;	break	continue	return	if	(	)	else	for	while	do	func	identifier	,	{	}	=	?	:	||	&&	!	!=	==	<	<=	>	>=	<<	>>	^	&	|	+	-	*	/	%	**	int	float	char	double	boolean	++	--	~	[	]	int_literal	float_literal	char_literal	string_literal	true	false	$	S'	Program	Function_statements	Expression_statement	Break_statement	Continue_statement	Return_statement	If_statement	If_rest	For_statement	For_condition	While_statement	Do_while_statement	Function_statement	Identifier_list	Identifier_list1	Block	Statements	Statement	Expression	Assignment_expression	Conditional_expression	Or_expression	And_expression	Not_expression	Relational_expression	Relational_rest	Relational_op	Bitwise_expression	Bitwise_op	Arithmetic_expression	Multiplicative_expression	Power	Cast_expression	Type	Unary_expression	Postfix_expression	Expression_list	Primary_expression	Literals
10	 	 	 	 	 	 	r20	 	 	 	 	 	 	r20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	s15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	 	r16	r16	r16	r16	r16	 	 	r16	r16	r16	r16	r16	 	 	r16	 	 	 	 	 	r16	 	 	 	 	 	 	 	 	 	 	 	r16	r16	 	 	 	 	 	 	 	 	 	r16	r16	r16	 	 	r16	r16	r16	r16	r16	r16	r16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	s28	s29	s30	s31	s49	 	 	s32	s33	s34	s4	s37	 	 	r23	 	 	 	 	 	s41	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	18	19	20	21	22	 	23	 	24	25	26	 	 	 	16	17	27	35	36	38	39	40	42	 	 	43	 	44	45	46	47	 	48	50	 	56	57
15	 	 	 	 	 	 	r19	 	 	 	 	 	 	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	s28	s29	s30	s31	s49	 	 	s32	s33	s34	s4	s37	 	 	r23	 	 	 	 	 	s41	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	18	19	20	21	22	 	23	 	24	25	26	 	 	 	65	17	27	35	36	38	39	40	42	 	 	43	 	44	45	46	47	 	48	50	 	56	57
18	 	r24	r24	r24	r24	r24	 	 	r24	r24	r24	r24	r24	 	 	r24	 	 	 	 	 	r24	 	 	 	 	 	 	 	 	 	 	 	r24	r24	 	 	 	 	 	 	 	 	 	r24	r24	r24	 	 	r24	r24	r24	r24	r24	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	r25	r25	r25	r25	r25	 	 	r25	r25	r25	r25	r25	 	 	r25	 	 	 	 	 	r25	 	 	 	 	 	 	 	 	 	 	 	r25	r25	 	 	 	 	 	 	 	 	 	r25	r25	r25	 	 	r25	r25	r25	r25	r25	r25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	r26	r26	r26	r26	r26	 	 	r26	r26	r26	r26	r26	 	 	r26	 	 	 	 	 	r26	 	 	 	 	 	 	 	 	 	 	 	r26	r26	 	 	 	 	 	 	 	 	 	r26	r26	r26	 	 	r26	r26	r26	r26	r26	r26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	r27	r27	r27	r27	r27	 	 	r27	r27	r27	r27	r27	 	 	r27	 	 	 	 	 	r27	 	 	 	 	 	 	 	 	 	 	 	r27	r27	 	 	 	 	 	 	 	 	 	r27	r27	r27	 	 	r27	r27	r27	r27	r27	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	r28	r28	r28	r28	r28	 	 	r28	r28	r28	r28	r28	 	 	r28	 	 	 	 	 	r28	 	 	 	 	 	 	 	 	 	 	 	r28	r28	 	 	 	 	 	 	 	 	 	r28	r28	r28	 	 	r28	r28	r28	r28	r28	r28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	r29	r29	r29	r29	r29	 	 	r29	r29	r29	r29	r29	 	 	r29	 	 	 	 	 	r29	 	 	 	 	 	 	 	 	 	 	 	r29	r29	 	 	 	 	 	 	 	 	 	r29	r29	r29	 	 	r29	r29	r29	r29	r29	r29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	r30	r30	r30	r30	r30	 	 	r30	r30	r30	r30	r30	 	 	r30	 	 	 	 	 	r30	 	 	 	 	 	 	 	 	 	 	 	r30	r30	 	 	 	 	 	 	 	 	 	r30	r30	r30	 	 	r30	r30	r30	r30	r30	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	r31	r31	r31	r31	r31	 	 	r31	r31	r31	r31	r31	 	 	r31	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	r31	r31	 	 	 	 	 	 	 	 	 	r31	r31	r31	 	 	r31	r31	r31	r31	r31	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	r32	r32	r32	r32	r32	 	 	r32	r32	r32	r32	r32	 	 	r32	 	 	 	 	 	r32	 	 	 	 	 	 	 	 	 	 	 	r32	r32	 	 	 	 	 	 	 	 	 	r32	r32	r32	 	 	r32	r32	r32	r32	r32	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	s66	 	 	 	 	 	 	 	 	 	 	 	 	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	s68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	s69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	 	 	s49	 	 	 	 	 	 	s37	 	 	 	 	 	 	 	 	s41	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	70	35	36	38	39	40	42	 	 	43	 	44	45	46	47	 	48	50	 	56	57
31	 	 	 	 	 	s71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	 	 	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	s73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	r33	 	 	 	 	 	r33	 	 	 	 	 	 	r33	 	 	 	 	r33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	r35	 	 	 	 	 	r35	 	 	 	 	 	 	r35	 	 	 	 	r35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	r90	 	 	 	 	r90	r90	 	 	 	 	 	 	r90	 	 	s75	r90	r90	r90	r90	 	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	r90	 	 	 	 	 	r90	r90	 	r90	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	r37	 	 	 	 	 	r37	 	 	 	 	 	 	r37	 	 	 	s76	r37	s77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	r39	 	 	 	 	 	r39	 	 	 	 	 	 	r39	 	 	 	r39	r39	r39	s78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	r42	 	 	 	 	 	r42	 	 	 	 	 	 	r42	 	 	 	r42	r42	r42	r42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	 	 	s49	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	s41	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	79	39	40	42	 	 	43	 	44	45	46	47	 	48	50	 	56	57
42	r44	 	 	 	 	 	r44	 	 	 	 	 	 	r44	 	 	 	r44	r44	r44	r44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	r47	 	 	 	 	 	r47	 	 	 	 	 	 	r47	 	 	 	r47	r47	r47	r47	 	s89	s90	s91	s92	s93	s94	s84	s85	s86	s87	s88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	81	83	 	82	 	 	 	 	 	 	 	 	 	 
44	r54	 	 	 	 	 	r54	 	 	 	 	 	 	r54	 	 	 	r54	r54	r54	r54	 	r54	r54	r54	r54	r54	r54	r54	r54	r54	r54	r54	s95	s96	 	 	 	 	 	 	 	 	 	 	 	 	 	r54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	r61	 	 	 	 	 	r61	 	 	 	 	 	 	r61	 	 	 	r61	r61	r61	r61	 	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	s97	s98	s99	 	 	 	 	 	 	 	 	 	 	r61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	r64	 	 	 	 	 	r64	 	 	 	 	 	 	r64	 	 	 	r64	r64	r64	r64	 	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	s100	 	 	 	 	 	 	 	 	 	r64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	r68	 	 	 	 	 	r68	 	 	 	 	 	 	r68	 	 	 	r68	r68	r68	r68	 	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	r68	 	 	 	 	 	 	 	 	 	r68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	r70	 	 	 	 	 	r70	 	 	 	 	 	 	r70	 	 	 	r70	r70	r70	r70	 	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	r70	 	 	 	 	 	 	 	 	 	r70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	s49	 	 	 	 	 	 	s37	 	 	 	 	 	 	 	 	s41	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	s103	s104	s105	s106	s107	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	102	35	36	38	39	40	42	 	 	43	 	44	45	46	47	101	48	50	 	56	57
50	r77	 	 	 	 	s109	r77	 	 	 	 	 	 	r77	 	 	 	r77	r77	r77	r77	 	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	r77	 	 	 	 	 	s110	s111	 	s108	r77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	s113	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	112	50	 	56	57
52	 	 	 	 	 	s113	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	114	50	 	56	57
53	 	 	 	 	 	s113	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	115	50	 	56	57
54	 	 	 	 	 	s113	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	116	50	 	56	57
55	 	 	 	 	 	s113	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s53	s52	 	 	 	 	 	 	 	 	 	s51	s54	s55	 	 	s58	s59	s60	s61	s62	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	117	50	 	56	57
56	r83	 	 	 	 	r83	r83	 	 	 	 	 	 	r83	 	 	 	r83	r83	r83	r83	 	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	r83	 	 	 	 	 	r83	r83	 	r83	r83	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	r91	 	 	 	 	r91	r91	 	 	 	 	 	 	r91	 	 	 	r91	r91	r91	r91	 	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	r91	 	 	 	 	 	r91	r91	 	r91	r91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	r93	 	 	 	 	r93	r93	 	 	 	 	 	 	r93	 	 	 	r93	r93	r93	r93	 	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	r93	 	 	 	 	 	r93	r93	 	r93	r93	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	r94	 	 	 	 	r94	r94	 	 	 	 	 	 	r94	 	 	 	r94	r94	r94	r94	 	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	r94	 	 	 	 	 	r94	r94	 	r94	r94	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	r95	 	 	 	 	r95	r95	 	 	 	 	 	 	r95	 	 	 	r95	r95	r95	r95	 	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	r95	 	 	 	 	 	r95	r95	 	r95	r95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	r96	 	 	 	 	r96	r96	 	 	 	 	 	 	r96	 	 	 	r96	r96	r96	r96	 	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	r96	 	 	 	 	 	r96	r96	 	r96	r96	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	r97	 	 	 	 	r97	r97	 	 	 	 	 	 	r97	 	 	 	r97	r97	r97	r97	 	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	r97	 	 	 	 	 	r97	r97	 	r97	r97	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
